timestamp,range
1764959398215702.8,2.7488629663669543e+26
1764959401292647.8,1.271252836492935e+31
1764959404369499.8,1.9437556615335312e-19
1764959407446800.5,191340822528.0
1764959410523452.8,3.2518666989762905e+33
1764959413600200.0,7.214457656113097e+22
1764959416677483.8,7.387367058766509e+20
1764959419753462.2,1.8179295756929983e+31
1764959423020681.5,4.158590681866664e+21
1764959426097389.0,2.0701160304010732e-19
1764959429173885.2,7.390855096677907e+22
1764959432250110.0,1.0431250530018588e-08
1764959435327528.2,1.7984997732888932e-19
1764959438404279.5,7.588382397680538e+31
1764959441480809.0,1.4918498322956783e-19
1764959444557919.5,7.2156033718583e+22
1764959447823947.8,2.767482202033121e+20
1764959450900361.8,7.270593518189424e+31
1764959453977423.0,3.030350451110588e+35
1764959457054796.5,4.2171809155888695e-08
1764959460131180.8,3647648301056.0
1764959463208421.5,7.50393856650271e+28
1764959466284416.0,5.835183447544523e-10
1764959469361353.8,7.903272273056216e+31
1764959472628623.5,1.713937391344643e+29
1764959475705383.5,6.947433379526785e+22
1764959479035501.2,1.8370139357257454e+25
1764959482111675.0,5.975231260890723e-07
1764959485380283.2,3611141341184.0
1764959488456988.5,4.8948403027766055e+30
1764959491534029.8,1.9435579136683428e-19
1764959494864326.8,7.338199563049929e+34
1764959497941499.0,1.171910562420218e-32
1764959501207708.5,2.7488629663669543e+26
1764959504284271.8,1.271252836492935e+31
1764959507360281.0,1.9437556615335312e-19
1764959510437606.0,191340822528.0
1764959513514818.8,3.2518666989762905e+33
1764959516591099.2,7.214457656113097e+22
1764959519668877.8,7.387367058766509e+20
1764959522745652.0,1.8179295756929983e+31
1764959526012007.5,4.158590681866664e+21
1764959529088267.2,2.0701160304010732e-19
1764959532165266.0,7.390855096677907e+22
1764959535242149.8,1.0431250530018588e-08
1764959538319897.2,1.7984997732888932e-19
1764959541396689.2,7.588382397680538e+31
1764959544474406.0,1.4918498322956783e-19
1764959547551068.0,7.2156033718583e+22
1764959551009097.0,2.767482202033121e+20
1764959554086467.2,7.270593518189424e+31
1764959557163090.8,3.030350451110588e+35
